Equation_ID,LaTeX_Formulation,Technical_Name,Operational_Context_Description,Primary_Simulation_Reference
EQ-001,"T = f(\rho_{m}, \rho_{E}, \sigma, \theta, \Phi, \mathbf{B}, \mathbf{E})",Transmissivity Framework Function,Corridor definition evaluating localized field environments,SIM-CORE
EQ-002,\frac{\partial T}{\partial t} \to 0,Transmissivity Saturation Condition,Indicates static boundary state stabilization,SIM-CORE
EQ-003,\nabla T > \Gamma_{text{breach}},Transmissivity Spatial Gradient Breach Threshold,Defines boundary breakdown point where containment slips,SIM-CORE
EQ-004,\alpha \cdot T \approx \kappa,Permeability-Transmissivity Scaling Constant Matrix,Couples medium conductivity directly to local transport profiles,SIM-CORE
EQ-005,S = \frac{E_{meas}}{E_{ref}},Saturation Ratio Formulation,Normalizes local measured energy field against reference vacuum states,SIM-CORE
EQ-006,\frac{dS}{dt} > \Lambda_{rec},Recovery Gate Threshold Condition,Dictates the timeline rate needed for system recovery to baseline,SIM-CORE
EQ-011,"R_{\gamma} = \int_{\mathcal{C}} w(s)\,\chi_{text{corridor}}(s)\,ds",Integrated Corridor Path Resistance,Calculates net optical/field attenuation along a line element s,SIM-PLASMA-01
EQ-012,\mathcal{P}_{\gamma} = \int (\mathbf{E} \times \mathbf{B}) \cdot d\ell,Net Boundary Poynting Flux Projection,Evaluates electromagnetic power flow intersecting containment edges,SIM-PLASMA-01
EQ-013,\frac{dt_{obs}}{dt_{ref}} \approx 1,Local Coordinate Clock Synchronization Factor,Enforces non-dilated baseline clock frames in flat reference space,SIM-PLASMA-01
EQ-014,L_{meas} \approx L_{ref},Spatial Metric Longitudinal Length Matching,Ensures length consistency before severe localized metric squeezing,SIM-PLASMA-01
EQ-015,"\mathbf{V} = [\Delta E, \Delta q, \Delta s, \Delta \mathbf{p}, \Delta B, \Delta L]",6D Phase Multi-Vector Tracking Array,Monitors instantaneous updates across primary thermodynamic variables,SIM-PLASMA-02
EQ-016,"\mathcal{D}_i : P_i(text{env}) = g(\mathbf{B}, \mathbf{E}, \rho_{m}, T, \alpha)",Environmental State Distribution Matrix,Determines localized cell probability based on surrounding fluid matrix,SIM-PLASMA-02
EQ-017,\Omega_{eff} = \Omega_0 \cdot (1 + \beta T + \gamma \alpha),Effective Rotation Modulus Adjustment,Alters angular momentum transport inside extreme conducting mediums,SIM-PLASMA-02
EQ-018,\left\langle \frac{dE}{dx} \right\rangle_{coalition},Mean Coalition Stopping Power Matrix,Tracks spatial energy dissipation of accelerating charges in field medium,SIM-PLASMA-02
EQ-019,"\Delta_{\mu,e,p} = \left\langle \frac{dE}{dx} \right\rangle_{\mu} - \left\langle \frac{dE}{dx} \right\rangle_{e,p}",Lepton-Hadron Stopping Power Differential,Measures energy extraction divergence between muons and light leptons,SIM-PLASMA-02
EQ-020,V(\phi) = \tfrac{1}{2} m_{\phi}^2 \phi^2 + \lambda \phi^4 + \eta \phi T,Multi-Phase Self-Interaction Effective Potential,Models stable vacuum expectations when coupled to local Transmissivity,SIM-PLASMA-02
EQ-021,\rho_{overlay} = \tfrac{1}{2} \dot{\phi}^2 + V(\phi),Scalar Overlay Field Effective Density,Represents the scalar stress-tensor contribution to local medium metrics,SIM-PLASMA-02
EQ-022,"E = \frac{m}{\mu \cdot \varepsilon} \cdot \Xi(T, \alpha, \mathbf{B}, \mathbf{E})",Unified Coalition Energy Relation,Modifies effective energy based on local spatial permeability and permittivity,SIM-CORE
EQ-023,E_{legacy} = m c^2,Classical Rest-Mass Energy Bridge,The standard limit where local dielectric multipliers go to unity,SIM-CORE
EQ-024,"\frac{d\theta}{dt} = \Upsilon(T, \alpha, \rho_{E}, \rho_{m})",Structural Phase Evolution Vector,Tracks state adjustments across multi-phase boundaries,SIM-CORE
EQ-025,"\theta \in \{\theta_{init}, \theta_{growth}, \theta_{sat}, \theta_{breach}, \theta_{rec}\}",Discrete State Space Constraints,Defines permissible phase identities for containment tracking,SIM-CORE
EQ-026,\frac{\Delta f}{f} = \frac{\Delta \Phi}{c^2},Standard Gravitational Redshift Identity,Classical control mapping fractional frequency loss over a potential change,SIM-REDSHIFT
EQ-027,\Delta f = \frac{\Delta p_{\gamma}}{h},Native Non-Ballistic Photon Momentum Frequency Shift,Direct relationship linking observed frequency drops to photon momentum depletion,SIM-REDSHIFT
EQ-028,"\Delta p_{\gamma} = \int g(r)\,dr",Integrated Line-Element Gravitational Resistance Vector,Sums continuous spatial path resistance acting against outward light travel,SIM-REDSHIFT
EQ-029,"\Delta \theta = \int \frac{g_{\perp}}{p_{\gamma}}\,ds",Deflection Angular Vector Mapping Integral,Calculates localized cross-field trajectory bending of non-ballistic paths,SIM-REDSHIFT
EQ-030,\Delta \theta = \frac{4GM}{c^2 b},Classical Vacuum Asymptotic Light Bending,Standard General Relativity control metric using impact parameter b,SIM-REDSHIFT
EQ-031,z_{obs} = z_{Doppler} + z_{grav},Composite Observed Cosmological Redshift Formula,Sums kinematic velocity stretching and native potential path resistance,SIM-REDSHIFT
EQ-032,z_{grav} = \frac{\Delta p_{\gamma}}{p_{\gamma}},Pure Momentum Depletion Fractional Parameter,Expresses potential-induced redshift directly via loss of photon inertia,SIM-REDSHIFT
EQ-033,r_h = r_s \cdot (1 + \Delta_{EOS}),Definitive Non-Singular Collapse Halt Radius,Establishes structural arrest boundary scaling past classical Schwarzschild radius,SIM-COLL-03
EQ-034,\frac{dE}{dr} \to 0,Internal Collapse Zone Energy Gradient Flattens,Vanishing internal work gradient marking non-singular density arrest,SIM-COLL-03
EQ-035,\Delta E = \mu_B \cdot B \cdot m_s,Local Magnetic Zeeman Spin State Splitting Energy,Calculates shift in microstate orientation potential under high magnetic field,SIM-SPIN-01
EQ-036,\frac{P_{up}}{P_{down}} = \exp\left(-\frac{\Delta E}{k T}\right),Boltzmann State Occupancy Ratio Profile,Determines thermal balance of quantum spin alignments in compressed fluid,SIM-SPIN-01
EQ-037,h_{min} = 10^{-21},Absolute Simulation Numerical Precision Metric Floor,Prevents floating point roundoff errors during spatial cell collapse,SIM-COLL-03
EQ-038,"S(f) = \int \rho(f, r)\,dr",Integrated Line-of-Sight Spectral Column Density,Calculates net absorption depth for rays escaping internal dense core,SIM-COLL-03
EQ-039,dt_{obs} = dt_{ref} \cdot \sqrt{1 - \frac{2GM}{rc^2}},Standard External Gravitational Time Dilation Curve,Classical control mapping coordinate clock slow-down outside mass core,SIM-COLL-03
EQ-040,\frac{dt_{obs}}{dt_{ref}} \approx 1,Internal Safe Coordinate Time Alignment Vector,Enforces regular physical time movement inside non-singular arrest zone,SIM-COLL-03
EQ-041,f_{obs} = f_{emit} \cdot \left(1 + \frac{\Delta \Phi}{c^2}\right),Standard Clock Shift Metric Projection,Relates emitted frequencies to observed frames across potential steps,SIM-COLL-03
EQ-042,v = v_0 + a \cdot t,Classical Newtonian Kinematic Linear Velocity,Standard flat-space linear velocity under constant acceleration,SIM-CORE
EQ-043,t = \frac{v - v_0}{a},Newtonian Time Duration Interval Solver,Extracts time duration required to reach targeted velocity thresholds,SIM-CORE
EQ-044,text{days} = \frac{t}{86400},Temporal Unit Conversion Vector Scalar,Normalizes metric simulation seconds into real calendar days,SIM-CORE
EQ-045,v(t) = \frac{a \cdot t}{\sqrt{1 + \left(\frac{a \cdot t}{c}\right)^2}},Relativistic Flat Velocity Coordinate Asymptote,Shows linear coordinate time approach to speed of light c,SIM-CORE
EQ-046,v(\tau) = c \cdot \tanh\left(\frac{a \cdot \tau}{c}\right),Proper-Time Relativistic Acceleration Vector Form,Tracks experienced system timeline acceleration mapping to hyperbolic velocity,SIM-CORE
EQ-047,E = m \cdot c^2,Standard Mass-Energy Equivalence Baseline,Classical rest energy baseline for standard reference fields,SIM-CORE
EQ-048,m_{equiv} = \frac{E}{c^2},Dynamic Mass-Equivalent Gravitational Energy Conversion,Translates pure electromagnetic or scalar field energy into effective mass,SIM-CORE
EQ-049,E = h \cdot \nu,Planck-Einstein Photon Energy Quantum Identity,Establishes linear relationship between frequency and quantum energy packets,SIM-CORE
EQ-050,p = \frac{E}{c},Standard Linear Photon Momentum Relation,Direct link relating electromagnetic wave packet energy to pure inertia,SIM-CORE
EQ-051,m_{equiv} = \frac{h \cdot \nu}{c^2},Effective Photon Gravitational Mass Identity,Calculates instant gravitational mass equivalence of localized light rays,SIM-CORE
EQ-052,E = \frac{m}{\mu \cdot \varepsilon},Simplified Non-Permeable Base Medium Energy Scalar,Alters effective baseline inertia based on spatial index conditions,SIM-FLUID-01
EQ-053,p = m \cdot v,Classical Linear Momentum Conservation Identity,Tracks mass translation vectors across fluid boundary cells,SIM-FLUID-01
EQ-054,L = I \cdot \omega,Macroscopic Angular Momentum Tracking Array,Measures rotational stability of expanding or collapsing accretion disks,SIM-FLUID-01
EQ-055,I = k \cdot M \cdot R^2,Geometric Moment of Inertia Structural Definition,Applies structural coefficients k to model mass distribution geometries,SIM-FLUID-01
EQ-056,\frac{dP}{dr} = -\rho \cdot g,Classical Hydrostatic Spatial Equilibrium Gradient,Balances internal isotropic fluid pressure against downward gravity forces,SIM-FLUID-01
EQ-057,\rho = \frac{M}{V},Macroscopic Bulk Mean Mass Density,Simple ratio tracking structural volume filling thresholds,SIM-FLUID-01
EQ-058,P = \frac{F}{A},Isotropic Mechanical Pressure Force Projection,Measures perpendicular mechanical force distributed per area unit,SIM-FLUID-01
EQ-059,\rho(r) = \rho_0 \cdot \left[1 - \left(\frac{r}{R}\right)^2\right],Parabolic Stellar Density Radial Profile Matrix,Standard non-uniform interior density tracking function for mass cores,SIM-FLUID-01
EQ-060,"M(r) = \int 4\pi r^2 \rho(r)\,dr",Enclosed Radial Mass Volume Profiler Integral,Integrates nested shells to find absolute structural mass up to radius r,SIM-FLUID-01
EQ-061,g(r) = \frac{G \cdot M(r)}{r^2},Localized Newton Gravitational Field Acceleration,Determines inward gravitational force pulling on interior fluid packets,SIM-FLUID-01
EQ-062,g_{surface} = \frac{G \cdot M}{R^2},Boundary Surface Gravity Acceleration Endpoint,Calculates gravitational grip at the absolute edge of active core mass,SIM-FLUID-01
EQ-063,U = -\frac{3 G M^2}{5 R},Uniform Spherical Gravitational Binding Potential Energy,Classical benchmark tracking total work required to dismantle core structure,SIM-FLUID-01
EQ-064,E_{tot} = K + U,Total Standard Mechanical Conserved Energy Scalar,Monitors sum of macroscopic kinetic translation and potential pools,SIM-FLUID-01
EQ-065,\frac{\partial \rho}{\partial t} + \nabla \cdot (\rho \mathbf{v}) = 0,Fluid Mass Continuity Matrix,Enforces absolute mass conservation across localized dynamic fluid updates,SIM-FLUID-01
EQ-066,\rho \left(\frac{\partial \mathbf{v}}{\partial t} + (\mathbf{v} \cdot \nabla)\mathbf{v}\right) = -\nabla P,Navier-Stokes Uncharged Pure Fluid Momentum Axis,Tracks mechanical pressure gradient accelerations without electromagnetic forces,SIM-FLUID-01
EQ-067,P = \rho \cdot R_{specific} \cdot T_k,Ideal Gas Thermodynamic Equation of State,Couples bulk thermal kinetic temperature to mechanical gas pressures,SIM-FLUID-01
EQ-068,E_{rot} = \frac{1}{2} I \cdot \omega^2,Macroscopic Rotational Kinetic Energy Scalar,Measures kinetic track energy stored within spinning stellar geometries,SIM-FLUID-01
EQ-069,v_{rot} = \omega \cdot r,Linear Equatorial Local Tangential Velocity,Tracks rotational speed of boundary cells at radius offsets,SIM-FLUID-01
EQ-070,B(r) = B_0 \cdot \left(\frac{R}{r}\right)^3,Classical Magnetic Dipole Radial Falloff Vector,Models decay of global stellar fields moving away from active core poles,SIM-MAG-02
EQ-071,u_B = \frac{B^2}{2\mu_0},Localized Magnetic Field Energy Storage Density,Tracks spatial energy density bound within magnetic flux structures,SIM-MAG-02
EQ-072,P_B = \frac{B^2}{2\mu_0},Isotropic Magnetic Field Outward Counterforce Pressure,Electromagnetic pressure vector acting to arrest uncharged collapse trajectories,SIM-MAG-02
EQ-073,F_Lorentz = q \cdot (\mathbf{E} + \mathbf{v} \times \mathbf{B}),Microscopic Charged Particle Lorentz Force Equation,Defines path acceleration vectors for individual free plasma charges,SIM-MAG-02
EQ-074,\Phi_B = \int \mathbf{B} \cdot d\mathbf{A},Net Magnetic Flux Surface Integrator Matrix,Measures total magnetic field lines piercing a given reference boundary,SIM-MAG-02
EQ-075,\lim_{r \to r_h^+} \frac{dE}{dr} = 0,Core Native Gradient Reversal Threshold Boundary,Arrests internal collapse work perfectly as boundary moves to Halt Radius,SIM-COLL-03
EQ-076,"\omega_{\gamma} > \omega_{p} \cdot \Theta(T, \mathbf{B}, \rho_{m})",Dynamic Plasma Escape Frequency Cutoff,Determines threshold where photon signals slice through shielding media,SIM-PLASMA-01
EQ-077,"D_{eff} = D_0 \cdot \Psi(T, \alpha, \rho_{m}, \mathbf{B})",Effective Modified Plasma Transmissivity Diffusion Matrix,Controls charge transport behavior across intense local phase shifts,SIM-PLASMA-01
EQ-078,\mathbf{J} = -D_{eff} \nabla n,Modified Unified Spatial Fick Concentration Flux Vector,Governs fluid element diffusion vectors inside heavy compression zones,SIM-PLASMA-01
EQ-079,\rho_{max} = text{Constant},The Definitive Trinca Maximum Mass Density Ceiling,Absolute cosmological maximum density allowed by universal phase architecture,SIM-COLL-03
EQ-080,"\mathcal{R}(x) = f(text{energy}, text{curvature}, text{medium})",Unified Metric Spacetime Reality Function,Universal master tracking trait monitoring absolute metric status parameters,SIM-CORE
EQ-081,E_0 = m_e c^2 = h f_c,Lepton Rest-Energy Quantum Frequency Identity,Bridges rest-mass inertia directly to its intrinsic quantum clock speed,SIM-SPIN-01
EQ-082,f_c = \frac{m_e c^2}{h},Electron Intrinsic Compton Clock Frequency Baseline,Establishes fundamental quantum oscillation frequency (~1.236e20 Hz),SIM-SPIN-01
EQ-083,\nabla \cdot \mathbf{E} = \frac{\rho_e}{\varepsilon_0},Macroscopic Maxwell Gauss Electrostatic Core,Maps total electric displacement field divergence directly to free charges,SIM-MAG-02
EQ-084,\nabla \cdot \mathbf{B} = 0,Maxwell Gauss Magnetic Non-Monopole Constraint,Enforces continuous divergence-free closed tracking loops for all magnetic lines,SIM-MAG-02
EQ-085,\nabla \times \mathbf{E} = -\frac{\partial \mathbf{B}}{\partial t},Maxwell Faraday Time-Varying Field Induction Matrix,Calculates electrical electromotive curls induced by moving magnetic boundaries,SIM-PLASMA-01
EQ-086,\nabla \times \mathbf{B} = \mu_0 \left(\mathbf{J} + \varepsilon_0 \frac{\partial \mathbf{E}}{\partial t}\_x000D_ight),Maxwell Ampere Extended Circuital Current Dynamic Loop,Relates magnetic curls to real currents and displacement field changes,SIM-MAG-02
EQ-087,\rho \left(\frac{\partial \mathbf{v}}{\partial t} + (\mathbf{v} \cdot \nabla)\mathbf{v}\right) = -\nabla P + \mathbf{J} \times \mathbf{B} + \rho \mathbf{g},Coupled MHD Navier-Stokes Lorentz Fluid Momentum Equation,"Integrates mechanical pressure, gravitational grip, and macroscopic magnetic braking",SIM-FLUID-01
EQ-088,\frac{\partial \mathbf{B}}{\partial t} = \nabla \times (\mathbf{v} \times \mathbf{B}),Ideal Fluid MHD Magnetic Flux-Freezing Induction Identity,Locks magnetic lines securely into the translation path of perfectly conducting plasma,SIM-PLASMA-02
EQ-089,\nabla \cdot \mathbf{B}_{fluid} = 0,Continuous Dynamic MHD Divergence-Free Constraint,Maintains clean geometric fields across grid mesh translations to prevent simulation errors,SIM-FLUID-01
EQ-090,"E_B = \int \frac{B^2}{2\mu_0} \, dV",Total Volume Integrated Magnetohydrodynamic Magnetic Reservoir Pool,Sums absolute interior magnetic field energy supporting collapsing mass scales,SIM-COLL-03
EQ-091,"\text{Mass}_{enclosed} = \iiint_V \rho(r, \theta, \phi) \, dV",Triple Spatial Volume Mass Integration Equation,Sums dynamic density variations across spherical shells to extract total true mass,SIM-FLUID-01
EQ-092,"\Phi_{total} = \iiint_V \rho_e \, dV",Triple Volume Electrostatic Charge Allocation Integrator,Calculates net interior charge bound within three-dimensional cell matrices,SIM-MAG-02
EQ-093A,\lim_{r \to r_h^+} \mathcal{R}(x) = \mathcal{R}_{critical},Boundary Limit Horizon Convergence Law,Determines metric parameter values at the exact spatial boundary interface of the Halt Radius.,SIM-COLL-03
EQ-093B,v_{collapse}(r) = c \cdot \left(1 - \frac{r_h}{r}\right)^{\gamma_{medium}},Inflation Replacement Continuous Field Decay Rule,Models velocity dampening as a function of medium density profiles to prevent infinite singularities.,SIM-MEDIA-01
EQ-094,"i\hbar \frac{\partial}{\partial t}\Psi(\mathbf{r},t) = \left[-\frac{\hbar^2}{2m}\nabla^2 + V(\mathbf{r},t)\right]\Psi(\mathbf{r},t)",Standard Time-Dependent Schrodinger Wave Equation Control Group,Quantum baseline control tracking wave function evolution under external potentials,SIM-SPIN-02
EQ-095,\mathcal{E} = -\frac{d\Phi_B}{dt},Lenz's Law Electromagnetic Braking Conservation Induction Rule,Calculates backward EMF counter-torques acting to stabilize plasma accretion paths,SIM-PLASMA-01
EQ-096,\Delta f = -\left(\frac{v^2}{2c^2}\right)f_0 - \left(\frac{\Delta \Phi}{c^2}\right)f_0 - \kappa_a a,The Tri-Factor Frequency Dilation Law,"Proves clock shifts are a tripartite function of kinematic velocity, localized spatial potential, and proper acceleration vector interactions.",SIM-SPIN-02
EQ-097,"f_{\text{obs}}(\mathbf{r},\theta) = f_{\text{emit}}\left(1 - \frac{\mathbf{v}\cdot\hat{\mathbf{r}}}{c} - \frac{a\cdot\mathbf{r}}{c^2}\cos\theta\right)",Vector Signal Geometry Phase Arrival Matrix,Models directional and distance-dependent wavefront arrival rates on a coordinate detector grid.,SIM-SPIN-02
EQ-098,\alpha = \int_{-\infty}^{\infty} \frac{1}{n(r)} \left( \nabla n(r) \cdot \hat{\mathbf{n}} \right) ds,Medium-Law Refractive Gradient Lensing Equation,Replaces geometric spacetime bending by modeling light deflection as pure optical refraction through a variable vacuum matrix.,SIM-MEDIA-01
EQ-099,"\nu(r) = \nu_0 \cdot \exp\left(-\int_{r_0}^r \mu_{\text{vac}}(s) \rho_{\text{med}}(s) \, ds\right)",Frequency-Radius Relation Exponential Decay,Tracks cumulative transmission path phase changes and frequency modifications over varying medium density profiles.,SIM-MEDIA-01
EQ-100,\mathbf{k}_{\text{local}} = \omega \sqrt{\varepsilon_{\text{local}} \mu_{\text{local}}} \mathbf{\hat{k}},Constitutive Vacuum Wave-Vector Formulation,Locks local electromagnetic propagation velocity and direction explicitly to the spatial density profile of the local medium substrate.,SIM-MEDIA-01
EQ-101,\mathbf{a}_{101} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 1,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-102,\mathbf{a}_{102} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 2,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-103,\mathbf{a}_{103} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 3,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-104,\mathbf{a}_{104} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 4,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-105,\mathbf{a}_{105} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 5,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-106,\mathbf{a}_{106} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 6,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-107,\mathbf{a}_{107} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 7,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-108,\mathbf{a}_{108} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 8,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-109,\mathbf{a}_{109} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 9,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-110,\mathbf{a}_{110} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 10,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-111,\mathbf{a}_{111} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 11,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-112,\mathbf{a}_{112} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 12,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-113,\mathbf{a}_{113} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 13,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-114,\mathbf{a}_{114} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 14,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-115,\mathbf{a}_{115} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 15,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-116,\mathbf{a}_{116} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 16,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-117,\mathbf{a}_{117} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 17,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-118,\mathbf{a}_{118} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 18,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-119,\mathbf{a}_{119} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 19,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
EQ-120,\mathbf{a}_{120} = -\sum_{j \neq i} \nabla \Phi_j(\mathbf{r}_i - \mathbf{r}_j),Linear Superposition Vector Acceleration Matrix Slice 20,Computes high-fidelity multi-body collision-free orbital drift trajectories via direct spatial field summation loops.,SIM-COLL-03
